r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
Has asso visit,Has associated visit (OMOP),ATTRIBUTE,Attribute,Clinical,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-HCPCS#hcpcs-to-visit-relationships
Has basic dose form,Has basic dose form (SNOMED),ATTRIBUTE,Attribute,Dose,,,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Has basis str subst,Has basis of strength substance (SNOMED),ATTRIBUTE,Composition,Ingredient,,,
Has biosimilar,Has biosimilar,ATTRIBUTE,,,,,
Has brand name,Has brand name (OMOP),ATTRIBUTE,Attribute,Commercial,,Connects an ingredient/product to a commercial brand name.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Has CAP parent item,Has CAP parent item,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has CAP protocol,Has CAP protocol,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has CAP value,Has CAP value,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has Category,Has Category,ATTRIBUTE,,,,,
Has causative agent,Has causative agent (SNOMED),ATTRIBUTE,Attribute,Etiology,"All listed as ""Clinical Finding and Disorder""","identifies an organism, substance, physical object, physical force, and/or pharmaceutical/biological product as the direct cause of a condition",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#causative-agent
Has CD category,Has controlled drug category (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has chem structure,Has chemical structure (NDF-RT),ATTRIBUTE,,,,,
Has CI,Has drug contra-indication (FDB),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has CI chem class,Has contraindicating chemical class (NDF-RT),INTERACTION,,,,,
Has CI MoA,Has contraindicating mechanism of action (NDF-RT),INTERACTION,,,,,
Has CI physio effect,Has contraindicating physiological effect (NDF-RT),INTERACTION,,,,,
Has clinical course,Has clinical course (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""",used to represent both the course and onset of a disease or condition,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#clinical-course
Has coating material,Has coating material (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the material with which an object is coated,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-coating-material
Has combi prod ind,Has combination product indicator (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has comp material,Has compositional material (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-compositional-material
Has complication,Has complication (SNOMED),ATTRIBUTE,Attribute,Clinical,,"Is an unexpected condition, outcome, or adverse event due to another condition, procedure, or treatment.",https://docs.snomed.org/snomed-ct-specifications/snomed-ct-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-and-disorder-modeling/complication-and-sequela-modeling#complication
Has component,Has component,COMPOSITION,,,,,
Has conc denom unit,Has concentration strength denominator unit (SNOMED),ATTRIBUTE,Composition,Drug,,,
Has conc denom val,Has concentration strength denominator value (SNOMED),ATTRIBUTE,Composition,Drug,,,
Has conc num unit,Has concentration strength numerator unit (SNOMED),ATTRIBUTE,Composition,Drug,,,
Has conc num val,Has concentration strength numerator value (SNOMED),ATTRIBUTE,Composition,Drug,,,
Has context,Has context (HemOnc),ATTRIBUTE,Attribute,Clincal,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has count of act ing,Count of active ingredients (SNOMED),COMPOSITION,Attribute,,,,
Has count of ing,Has count of base of active ingredient (SNOMED),COMPOSITION,Composition,Ingredient,,,
Has cytotox chemo Rx,Has cytotoxic chemotherapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has cytotoxic chemo,Has cytotoxic chemotherapy (HemOnc),ATTRIBUTE,Attribute,Regimen,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has denomin value,Has presentation strength denominator value (SNOMED),ATTRIBUTE,Attribute,,,,
Has denominator unit,Has presentation strength denominator unit (SNOMED),ATTRIBUTE,Attribute,,,,
Has dev intend site,Has device intended site (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-device-intended-site
Has dir device,Has direct device (SNOMED),ATTRIBUTE,Attribute,Device,,Direct device (attribute) represents the device on which the method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-device
Has dir morph,Has direct morphology (SNOMED),ATTRIBUTE,Attribute,Morphology,,Direct morphology (attribute) describes the morphologically abnormal structure that is the direct object of the Method action.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-morphology
Has dir proc site,Has direct procedure site (SNOMED),ATTRIBUTE,Attribute,Spatial,,"is used when the action of the procedure is directly aimed at anatomical or acquired body structure or site, rather than something else located there",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-site-direct
Has dir subst,Has direct substance (SNOMED),ATTRIBUTE,Attribute,Ingredient,,Direct substance (attribute) describes the Substance or Pharmaceutical/biologic product on which the procedure's method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-substance
Has direct site,Has direct site (SNOMED),ATTRIBUTE,Attribute,,,,
Has Direction,Has Direction,ATTRIBUTE,,,,,
Has disc indicator,Has discontinued indicator (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has disp dose form,Has dispensed dose form (SNOMED),ATTRIBUTE,Attribute,Dose,,,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Has disposition,Has disposition (SNOMED),ATTRIBUTE,Attribute,,,,
Has dose form,Has dose form (SNOMED),ATTRIBUTE,Attribute,Dose,,,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Has dose form group,Has dose form group (RxNorm),ATTRIBUTE,,,,,
Has dose form unit,Has unit relating to the size (DM+D),ATTRIBUTE,,,,,
Has drug-drug inter,Is involved in drug-drug interaction (NDF),ATTRIBUTE,,,,,
Has due to,Has due to (SNOMED),INTERACTION,Attribute,Etiology,"All listed as ""Clinical Finding and Disorder""","to identify a clinical finding/disorder, event, or procedure concept as the direct cause of another Clinical finding or Disorder concept",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#due-to
Has EMA indication,Has EMA indication (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has end date,Has end date,ATTRIBUTE,,,,,
Has endocrine tx,Has endocrine therapy (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has endocrine tx Rx,Has endocrine therapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has episodicity,Has episodicity (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""","represent episodes of care provided by a physician or other healthcare provider, not episodes of disease experienced by the patient",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#episodicity
Has etiology,Has Etiology (SNOMED),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has excipient,Has excipient (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has extent,Has Extent (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has FDA indication,Has FDA indication (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has FDA labeling,Has FDA labeling (HemOnc),ATTRIBUTE,,,,,
Has FDA-appr ind,Has FDA-approved drug indication (FDB),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has filling,Has filling (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the material or substance that fills an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-filling
Has finding context,Has finding context (SNOMED),ATTRIBUTE,Attribute,,,,
Has finding site,Has finding site (SNOMED),ATTRIBUTE,Attribute,Spatial,"All listed as ""Clinical Finding and Disorder""",,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-site
Has flavor,Has flavor (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has focus,Has focus (SNOMED),ATTRIBUTE,Attribute,Characteristic,,Has focus (attribute) specifies the Clinical finding or Procedure which is the focus of a procedure. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-focus
Has form,Has form (RxNorm),ATTRIBUTE,,,,,
Has form continuity,Has dose form continuity indicator (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has free indicator,Has NHS dm+d freeness indicator,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has growth factor,Has growth factor (HemOnc),ATTRIBUTE,,,,,
Has growth factor Rx,Has growth factor Rx (HemOnc),ATTRIBUTE,,,,,
Has HC indication,Has HC indication (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has Histology ICDO,Has Histology ICDO,ATTRIBUTE,,,,,
Has immunosuppr Rx,Has immunosuppressor - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has immunosuppressor,Has immunosuppressor (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has immunotherapy,Has immunotherapy (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has immunotherapy Rx,Has immunotherapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has incipient,Has incipient (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has indir device,Has indirect device (SNOMED),ATTRIBUTE,Attribute,Device,,"Indirect device (attribute) represents action on something that is located in or on a device, but is not directly on the device itself. This attribute is infrequently needed. When modeling, carefully consider its use.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#indirect-device
Has indir morph,Has indirect morphology (SNOMED),ATTRIBUTE,Attribute,,,,
Has indir proc site,Has indirect procedure site (SNOMED),ATTRIBUTE,Attribute,,,,
Has inferred class,Has inferred drug class (OMOP),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has inherent,Has inherent (SNOMED),ATTRIBUTE,Attribute,Entity,,Specifies the independent continuant in which the quality exists and on which the dependent quality (of this observable) depends.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inheres-in
Has inherent loc,Has inherent location (SNOMED),ATTRIBUTE,Attribute,Anatomical,,Specify a body site or other location of the independent continuant in which the property exists.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inherent-location
Has intended site,Has dose form intended site (SNOMED),ATTRIBUTE,Attribute,,,,
Has intent,Has intent (SNOMED),ATTRIBUTE,Attribute,Characteristic,,"The Has intent attribute is used when a procedure may be performed for various reasons, described with subtypes of 363675004 |Intents (nature of procedure values) (qualifier value)|, such as diagnostic, palliative, preventive, therapeutic, etc. These intents are not used to define procedures with intents that are inherent to the procedure; such as biopsies that are by definition diagnostic, or fracture fixations which are always therapeutic.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-intent
Has interpretation,Has interpretation (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""","Refers to and designates the judgment aspect being evaluated or interpreted (e.g., presence, absence, degree, normality, abnormality, etc.). ",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#has-interpretation
Has interprets,Has interprets (SNOMED),ATTRIBUTE,Attribute,Evaluation,"All listed as ""Clinical Finding and Disorder""","Refers to the entity being evaluated or interpreted, when an evaluation, interpretation, or judgment is intrinsic to the meaning of a concept.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#interprets
Has investig use,Has investigational use (HemOnc),ATTRIBUTE,,,,,
Has Issue,Has Issue,ATTRIBUTE,,,,,
Has kind,Has kind (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Has laterality,Has laterality (SNOMED),ATTRIBUTE,Attribute,,,,
Has legal category,Has legal category (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has licensed route,Has licensed route (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has life circumstan,Has life circumstance (SNOMED Vet),ATTRIBUTE,Attribute,,,,
Has local therap Rx,Has local therapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has local therapy,Has local therapy (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has manifestation,Has definitional manifestation (SNOMED),INTERACTION,Attribute,,,,
Has marketed form,Has marketed form (OMOP),ATTRIBUTE,Attribute,Product-form,,Identifies the version of the drug that is marketed.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Has meas component,Has Measured Component (SNOMED),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has measurement,Has measurement method (SNOMED),ATTRIBUTE,Attribute,,,,
Has metabolism,Has site of metabolism (NDF-RT),ATTRIBUTE,,,,,
Has metabolites,Has active metabolites (NDF-RT),ATTRIBUTE,,,,,
Has method,Has method,ATTRIBUTE,Attribute,Clinical,,"Defines the action or technique used (e.g., Excision).",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#attribute-relationships
Has MoA,Has mechanism of action (NDF-RT),ATTRIBUTE,,,,,
Has modality,Has modality (HemOnc),ATTRIBUTE,,,,,
Has modification,Has modification of (SNOMED),ATTRIBUTE,Attribute,,,,
Has Module,Has Module,ATTRIBUTE,,,,,
Has morphology,Has Morphology (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has NMPA indication,Has NMPA indication (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has non-avail ind,Has VMP non-availability indicator (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has numerator unit,Has presentation strength numerator unit (SNOMED),ATTRIBUTE,Attribute,,,,
Has numerator value,Has presentation strength numerator value (SNOMED),ATTRIBUTE,Attribute,,,,
Has occurrence,Has occurrence (SNOMED),ATTRIBUTE,Attribute,Characteristic,,"Occurrence (attribute) is applied to procedures during a period of life. For example, procedures related to the gravid uterus should be modeled by the combination of the occurrence of the maternal pregnancy period and the uterus.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#occurrence
Has off-label ind,Has off-label drug indication (FDB),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has ontological form,Has ontological dose form presentation (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has pack,Has pack (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has parent item,Has parent item (NAACCR),ATTRIBUTE,,,,,
Has part of,Has part of (SNOMED),COMPOSITION,Attribute,,,,
Has pathology,Has pathological process (SNOMED),ATTRIBUTE,Attribute,,,,
Has PDC Rx,Has PDC - RxNorm (HemOnc),ATTRIBUTE,,,,,
Has pept-drg cjg Rx,Has peptide-drug conjugate - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has pept-drug cjgt,Has peptide-drug conjugate (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has permiss range,Has permissible range,ATTRIBUTE,,,,,
Has pharma prep,Has pharmaceutical preparation (NDF),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has physio effect,Has physiological effect (NDF-RT),ATTRIBUTE,,,,,
Has physiol state,Has physiologic state (SNOMED Vet),ATTRIBUTE,Attribute,,,,
Has PK,Has pharmacokinetics (NDF-RT),ATTRIBUTE,,,,,
Has PMDA indication,Has PMDA indication (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has PPI parent code,Has PPI parent code,ATTRIBUTE,,,,,
Has prec ingredient,Has precise active ingredient (SNOMED),COMPOSITION,Composition,Ingredient,,,
Has precise ing,Has precise ingredient (RxNorm),COMPOSITION,Composition,Ingredient,,Precise version of the ingredient link (e.g. base vs salt).,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Has precondition,Has precondition (SNOMED),ATTRIBUTE,Attribute,Clinical,,"Specify body state, timing, challenges, or other situations that must be true of the entity to be observed.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#precondition
Has precoord pair,Has precoordinated (Question-Answer/Variable-Value) pair,ATTRIBUTE,,,,,
Has priority,Has priority (SNOMED),ATTRIBUTE,Attribute,Characteristic,,Priority (attribute) is used when a procedure concept specifies a priority. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#priority
Has proc context,Has procedure context (SNOMED),ATTRIBUTE,Attribute,,,,
Has proc device,Has procedure device (SNOMED),ATTRIBUTE,Attribute,Device,,"Procedure device (attribute) is used to model devices associated with a procedure. This attribute is used to define high-level, general concepts that aggregate procedures according to the device involved.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-device
Has proc duration,Process duration,ATTRIBUTE,,,,,
Has proc morph,Has procedure morphology (SNOMED),ATTRIBUTE,Attribute,Characteristic,,"Procedure morphology (attribute) is used to specify the morphology, or abnormal structure, involved in a procedure. It is used when defining general concepts that subsume direct and indirect morphology. It subsumes the more specific attributes, Direct and Indirect Morphology. These should be used, if possible.

",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-morphology
Has proc site,Has procedure site (SNOMED),ATTRIBUTE,Attribute,Spatial,,,
Has process output,Has process output (SNOMED),ATTRIBUTE,Attribute,,,,
Has prod character,Has product characteristic (SNOMED),ATTRIBUTE,Attribute,,,,
Has product comp,Has product component (NDF-RT),ATTRIBUTE,,,,,
Has property,Has property,ATTRIBUTE,,,,,
Has property type,Has property type,ATTRIBUTE,,,,,
Has quantified form,Has quantified form (RxNorm),ATTRIBUTE,Attribute,Product-form,,Modifies a drug concept with a specific quantity/strength.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Has question source,Has question source,ATTRIBUTE,,,,,
Has radiocjgt Rx,Has radioconjugate - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has radioconjugate,Has radioconjugate (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has radiotherapy,Has radiotherapy (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has radiotherapy Rx,Has radiotherapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has recipient cat,Has recipient category (SNOMED),ATTRIBUTE,Attribute,Characteristic,,Recipient category (attribute) specifies the type of individual or group upon which the action of the procedure is performed.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#recipient-category
Has regimen type,Has regimen type (HemOnc),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has relat context,Has subject relationship context (SNOMED),ATTRIBUTE,Attribute,,,,
Has relative part,Has relative part (SNOMED),ATTRIBUTE,Attribute,,,,
Has release charact,Has dose form release characteristic (SNOMED),ATTRIBUTE,Attribute,,,,
Has revision status,Has revision status (SNOMED),VERSIONING,Attribute,Characteristic,,Revision status (attribute) refers to another procedure performed on the same site for the same condition. A procedure without a revision status is considered to be performed for the first time. ,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#revision-status
Has role,Has role (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Has route,Has route (DM+D),ATTRIBUTE,,,,,
Has route of admin,Has route of administration (SNOMED),ATTRIBUTE,Attribute,,,,
Has Scale,Has Scale,ATTRIBUTE,,,,,
Has scale type,Has scale type,ATTRIBUTE,,,,,
Has setting,Has setting (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Has severity,Has severity (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""",,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#severity
Has spec active ing,Has specific active ingredient (SNOMED),COMPOSITION,Attribute,,,,
Has specimen,Has specimen (SNOMED),ATTRIBUTE,Attribute,Evaluation,,Indicates the type of specimen on which a measurement or observation is performed.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/evaluation-procedure-attributes#has-specimen
Has specimen morph,Has specimen source morphology (SNOMED),ATTRIBUTE,Attribute,Specimen,,Specifies the morphologic abnormality from which a specimen is obtained.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-morphology
Has specimen proc,Has specimen procedure (SNOMED),ATTRIBUTE,Attribute,Specimen,,Identifies the procedure by which a specimen is obtained.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-procedure
Has specimen source,Has specimen source identity (SNOMED),ATTRIBUTE,Attribute,Specimen,,"Specifies the type of individual, group, or physical location from which a specimen is collected",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-identity
Has specimen subst,Has specimen substance (SNOMED),ATTRIBUTE,Attribute,Specimen,,"Specifies the type of substance, pharmaceutical/biologic product, or physical object of which a specimen is comprised.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-substance
Has specimen topo,Has specimen source topography (SNOMED),ATTRIBUTE,Attribute,,,,
Has stage,Has Stage (SNOMED),ATTRIBUTE,Attribute,,,,
Has standard brand,Has standard Brand Name (OMOP),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has standard form,Has standard Dose Form (OMOP),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has standard ing,Has standard ingredient (OMOP),COMPOSITION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has start date,Has start date,ATTRIBUTE,,,,,
Has state of matter,Has state of matter (SNOMED),ATTRIBUTE,Attribute,,,,
Has status,Has status,ATTRIBUTE,,,,,
Has steroid tx,Has steroid therapy (HemOnc),ATTRIBUTE,Attribute,Regimen,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has steroid tx Rx,Has steroid therapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has strength,Has ingredient qualitative strength (SNOMED),ATTRIBUTE,Composition,Ingredient,,,
Has sub-specimen,Includes sub-specimen (SNOMED Vet),ATTRIBUTE,Attribute,,,,
Has subject matter,Has subject matter domain (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Has supplier,Has supplier or manufacturer (OMOP),ATTRIBUTE,Attribute,Commercial,,,
Has support med Rx,Has supportive medication - RxNorm (HemOnc),ATTRIBUTE,,,,,
Has supportive med,Has supportive medication (HemOnc),ATTRIBUTE,Attribute,Regimen,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has surface char,Has surface characteristic (SNOMED),ATTRIBUTE,Attribute,,,,
Has surface texture,Has surface texture (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the tactile characteristic or appearance of the surface of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-surface-texture
Has surgical appr,Has surgical approach (SNOMED),ATTRIBUTE,Attribute,,,,
Has synth regimen,Has synthetic regimen (HemOnc),ATTRIBUTE,,,,,
Has system,Has system,ATTRIBUTE,,,,,
Has targ population,Has target population (SNOMED),ATTRIBUTE,Attribute,,,,
Has targeted therapy,Has targeted therapy (HemOnc),ATTRIBUTE,Attribute,Regimen,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has targeted tx Rx,Has targeted therapy - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has technique,Has technique (SNOMED),ATTRIBUTE,Attribute,Observation,,Specify the systematic method of an observation.,
